
1,training,unorderedBooksAndLocations,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,F-2-5,5,3
,,,,,,,,,,,,,The Art of Manipulating Fabric,Colette Wolff,C-3-5,12,6
,,,,,,,,,,,,,Ubiquitous Computing Fundamentals,John Krumm,F-3-3,5,0
,,,,,,,,,,,,,Location and Context-Awareness,LoCA 2006,G-1-2,0,0
,,,,,,,,,,,,,Guide to Data Analysis,Jarija J. Norusis,B-2-1,17,3
,,,,,,,,,,,,,Capacitive Sensors - Design and Applications,Larry K. Baxter,C-3-1,12,6
,,,,,,,,,,,,,America Again,Stephen Colbert,F-1-2,5,6
,,,,,,,,,,,,,Introduction To Electrical Circuit Analysis,Robert Carter,E-2-3,6,3
,,,,,,,,,,,,,"Computers: Their Structure, Use, and Influence","Slotnick, Slotnick",E-3-5,6,6
,,orderedBooksAndLocations,,,,,,,,,,,Guide to Data Analysis,Jarija J. Norusis,B-2-1,17,3
,,,,,,,,,,,,,The Art of Manipulating Fabric,Colette Wolff,C-3-5,12,6
,,,,,,,,,,,,,Capacitive Sensors - Design and Applications,Larry K. Baxter,C-3-1,12,6
,,,,,,,,,,,,,"Computers: Their Structure, Use, and Influence","Slotnick, Slotnick",E-3-5,6,6
,,,,,,,,,,,,,Introduction To Electrical Circuit Analysis,Robert Carter,E-2-3,6,3
,,,,,,,,,,,,,America Again,Stephen Colbert,F-1-2,5,6
,,,,,,,,,,,,,Fun Home,Alison Bechdel,F-2-4,5,3
,,,,,,,,,,,,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,F-2-5,5,3
,,,,,,,,,,,,,Ubiquitous Computing Fundamentals,John Krumm,F-3-3,5,0
,,,9,0,6,,,Introduction to Computing and Algorithms,Russel L. Shackelford,B-3-1,17,0,,,,,
,,,,1,6,,,,,,,,,,,,
,,,,5,8,,,,,,,,,,,,
,,,,13,8,,,,,,,,,,,,
,,,,16,0,,,,,,,,,,,,
,,,,17,0,,,,,,,,,,,,
,,,10,17,0,,,Conquerors Legacy,Timothy Zahn,A-2-5,18,3,,,,,
,,,,16,0,,,,,,,,,,,,
,,,,16,8,,,,,,,,,,,,
,,,,19,8,,,,,,,,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,18,3,,,,,,,,,,,,
,,,11,18,3,null,null,,,,,,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,23,0,,,,,,,,,,,,
,,,,24,0,,,,,,,,,,,,
4,training,unorderedBooksAndLocations,,,,,,,,,,,Enercell Battery Guidebook,Radio Shack,C-2-2,12,3
,,,,,,,,,,,,,Hard Real-Time Systems,"John, Kirithi",A-2-2,18,3
,,,,,,,,,,,,,Cognitive Science,George F. Luger,G-3-4,0,6
,,,,,,,,,,,,,Casual Inference in Statistics,"Pearl, Glymour, Jewell",E-2-4,6,3
,,,,,,,,,,,,,Practical Digital Design Using ICs,Joseph D. Greenfield,G-2-3,0,3
,,,,,,,,,,,,,Signals and Systems An Introduction to Analog and Digital Signal Processing,Alan V. Oppenheim,C-1-4,12,0
,,,,,,,,,,,,,Digital Technology,Gerald E. Williams,G-1-4,0,0
,,,,,,,,,,,,,Allied Electronics,Allied 790,D-3-3,11,0
,,,,,,,,,,,,,What You See Is Where You Act Interlacing the Display and Manipulation Spaces,J.P. Djajadiningrat,B-2-5,17,3
,,,,,,,,,,,,,Consciousness,Blackmore,A-3-4,18,6
,,orderedBooksAndLocations,,,,,,,,,,,Hard Real-Time Systems,"John, Kirithi",A-2-2,18,3
,,,,,,,,,,,,,Consciousness,Blackmore,A-3-4,18,6
,,,,,,,,,,,,,What You See Is Where You Act Interlacing the Display and Manipulation Spaces,J.P. Djajadiningrat,B-2-5,17,3
,,,,,,,,,,,,,Enercell Battery Guidebook,Radio Shack,C-2-2,12,3
,,,,,,,,,,,,,Signals and Systems An Introduction to Analog and Digital Signal Processing,Alan V. Oppenheim,C-1-4,12,0
,,,,,,,,,,,,,Allied Electronics,Allied 790,D-3-3,11,0
,,,,,,,,,,,,,Casual Inference in Statistics,"Pearl, Glymour, Jewell",E-2-4,6,3
,,,,,,,,,,,,,Cognitive Science,George F. Luger,G-3-4,0,6
,,,,,,,,,,,,,Practical Digital Design Using ICs,Joseph D. Greenfield,G-2-3,0,3
,,,,,,,,,,,,,Digital Technology,Gerald E. Williams,G-1-4,0,0
,,orderedPickPath,1,24,0,,,Hard Real-Time Systems,"John, Kirithi",A-2-2,18,3,,,,,
,,,,23,0,,,,,,,,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,18,3,,,,,,,,,,,,
,,,2,18,3,,,Consciousness,Blackmore,A-3-4,18,6,,,,,
,,,,19,3,,,,,,,,,,,,
,,,,19,6,,,,,,,,,,,,
,,,,18,6,,,,,,,,,,,,
,,,3,18,6,,,What You See Is Where You Act Interlacing the Display and Manipulation Spaces,J.P. Djajadiningrat,B-2-5,17,3,,,,,
,,,,19,6,,,,,,,,,,,,
,,,,19,8,,,,,,,,,,,,
,,,,16,8,,,,,,,,,,,,
,,,,16,3,,,,,,,,,,,,
,,,,17,3,,,,,,,,,,,,
,,,4,17,3,,,Enercell Battery Guidebook,Radio Shack,C-2-2,12,3,,,,,
,,,,16,3,,,,,,,,,,,,
,,,,13,3,,,,,,,,,,,,
,,,,12,3,,,,,,,,,,,,
,,,5,12,3,,,Signals and Systems An Introduction to Analog and Digital Signal Processing,Alan V. Oppenheim,C-1-4,12,0,,,,,
,,,,13,3,,,,,,,,,,,,
,,,,13,0,,,,,,,,,,,,
